3D-rrbc, Ra:3.30e+05, Ek:1.00e-03, Nz:16, Ny:32, Nx:32, Pr:7.0, 
time	Re	Nu-top	Nu-bottom	Nu-midplane	Nu-integral	umax	vmax	wmax	buoyancy	dissip	energy-balance	nu-error	D_visc	thermal_dissipation	
1.0000e-02	0.0000e+00	-1.2363e-03	-2.2911e-03	-1.0782e-04	-1.8762e-05	0.0000e+00	0.0000e+00	0.0000e+00	-6.1913e+00	-0.0000e+00	  inf	1.2112e+02	2.7480e-05	0.0000e+00	
1.6781e-02	1.3887e-01	3.1906e-05	5.8385e-05	1.5269e-03	8.3544e-04	1.6912e+00	1.9116e+00	2.6200e+00	2.7569e+02	2.0622e+02	3.3690e-01	9.6181e-01	2.2305e-04	2.0623e+02	
1.7588e-02	4.6884e+00	4.3773e-02	4.3986e-02	1.6971e+00	9.4521e-01	5.3314e+01	6.0044e+01	8.8813e+01	3.1192e+05	2.3261e+05	3.4095e-01	9.5369e-01	2.4400e-01	2.3263e+05	
1.8068e-02	7.0772e+00	1.0578e-01	1.0611e-01	3.7481e+00	2.1436e+00	8.0980e+01	8.9551e+01	1.3345e+02	7.0740e+05	5.3218e+05	3.2925e-01	9.5065e-01	5.5581e-01	5.3222e+05	
1.8446e-02	8.9730e+00	1.8112e-01	1.8112e-01	5.8480e+00	3.4317e+00	1.0506e+02	1.1285e+02	1.6755e+02	1.1325e+06	8.6006e+05	3.1672e-01	9.4722e-01	8.9752e-01	8.6012e+05	
1.8764e-02	1.0753e+01	2.7998e-01	2.7886e-01	8.1430e+00	4.9060e+00	1.2900e+02	1.3472e+02	1.9826e+02	1.6190e+06	1.2434e+06	3.0206e-01	9.4316e-01	1.3001e+00	1.2435e+06	
1.9042e-02	1.2439e+01	4.0701e-01	4.0369e-01	1.0566e+01	6.5327e+00	1.5215e+02	1.5551e+02	2.2735e+02	2.1558e+06	1.6770e+06	2.8551e-01	9.3820e-01	1.7630e+00	1.6771e+06	
1.9292e-02	1.4042e+01	5.6776e-01	5.6146e-01	1.3067e+01	8.2802e+00	1.7409e+02	1.7536e+02	2.5460e+02	2.7325e+06	2.1560e+06	2.6736e-01	9.3219e-01	2.2886e+00	2.1562e+06	
1.9505e-02	1.5568e+01	7.6857e-01	7.5962e-01	1.5606e+01	1.0117e+01	1.9435e+02	1.9436e+02	2.7957e+02	3.3387e+06	2.6755e+06	2.4789e-01	9.2492e-01	2.8813e+00	2.6756e+06	
1.9686e-02	1.6908e+01	9.9559e-01	9.8585e-01	1.7950e+01	1.1863e+01	2.1122e+02	2.1116e+02	3.0073e+02	3.9149e+06	3.1854e+06	2.2899e-01	9.1690e-01	3.4927e+00	3.1857e+06	
